long,lat,species,group_size
-0.29611350,0.00085160,Dolphin,6
0.31543390,-0.25481190,Dolphin,1
-0.19134890,-0.04042210,Dolphin,2
-0.18400100,0.23289320,Dolphin,5
-0.39952840,-0.00467590,Dolphin,1
-0.05445920,0.17943130,Dolphin,16
-0.06306970,-0.03534490,Dolphin,2
-0.12565100,0.22274180,Dolphin,4
-0.02129280,-0.10837780,Dolphin,1
0.08560300,-0.19267970,Dolphin,3
-0.15554390,0.07528970,Dolphin,8
-0.25877650,-0.19693480,Dolphin,1
-0.15591330,0.17951190,Dolphin,1
0.00239040,0.02585250,Dolphin,2
-0.03048320,0.20674060,Dolphin,1
-0.14069290,-0.06845790,Dolphin,1
0.23777580,0.09045630,Dolphin,3
0.06810250,-0.13894760,Dolphin,4
0.10139360,-0.04780270,Dolphin,3
-0.05866100,-0.20145980,Dolphin,1
0.04472830,0.38534380,Dolphin,1
0.40144030,0.01028610,Dolphin,1
0.20239580,0.36010480,Dolphin,2
-0.06049180,-0.11029160,Dolphin,1
-0.20504900,0.02141180,Dolphin,1
-0.05347700,0.15782480,Dolphin,3
-0.03982110,-0.04885110,Dolphin,2
0.02622450,0.07683600,Dolphin,1
0.02916000,-0.23384710,Dolphin,1
0.07241290,0.30365450,Dolphin,1
0.13479620,0.01459620,Dolphin,4
0.41440720,-0.10553500,Dolphin,1
-0.10820570,-0.10490510,Dolphin,14
-0.21409840,0.14938010,Dolphin,3
-0.07449130,-0.23648280,Dolphin,1
-0.09702830,-0.27094170,Dolphin,5
0.05495680,-0.04245710,Dolphin,2
-0.09590250,-0.01789630,Dolphin,4
0.15962110,0.05140650,Dolphin,1
-0.20089020,0.24085740,Dolphin,1
0.02099680,-0.03480620,Dolphin,2
-0.23119860,0.13804340,Dolphin,1
0.11562690,0.08267690,Dolphin,1
-0.31912510,-0.28609580,Dolphin,3
-0.06170070,-0.25993380,Dolphin,1
0.08989320,0.28067000,Dolphin,1
-0.19541070,-0.04387000,Dolphin,1
0.03799960,0.42649820,Dolphin,7
0.14629070,-0.36669400,Dolphin,6
-0.09851980,-0.02210190,Dolphin,1
-0.00853700,0.15314210,Dolphin,1
-0.02253410,0.06470090,Dolphin,1
0.09136540,-0.14707580,Dolphin,2
0.40406700,0.22914340,Dolphin,1
-0.21017800,-0.05564750,Dolphin,1
0.14693040,0.21136830,Dolphin,11
0.10784990,0.07350290,Dolphin,1
-0.26285460,0.16950290,Dolphin,1
-0.05000770,-0.25256410,Dolphin,3
0.06284090,0.10564730,Dolphin,2
0.08130930,0.21788140,Dolphin,1
0.19888410,-0.13989570,Dolphin,4
0.17115370,0.28420520,Dolphin,2
0.03942580,0.28780430,Dolphin,1
0.16686500,-0.25906230,Dolphin,1
0.16935800,-0.17941200,Dolphin,7
0.39082110,-0.37695520,Dolphin,1
-0.42985200,0.00549960,Dolphin,2
0.19422410,-0.18148330,Dolphin,3
0.22901230,-0.32951230,Dolphin,3
-0.10508010,0.05046800,Dolphin,5
0.05006400,0.12846290,Dolphin,2
-0.08588130,-0.06938720,Dolphin,1
-0.03650390,-0.10305260,Dolphin,9
-0.02066210,0.07963380,Dolphin,4
-0.12676760,0.19071140,Dolphin,4
-0.25421080,0.05203580,Dolphin,1
-0.07679010,-0.41002690,Dolphin,5
0.10335120,0.05759410,Dolphin,1
-0.03559370,0.07238910,Dolphin,2
