long,lat,stressor
-0.04256374,-0.25022293,Gillnet
0.08920605,-0.08777328,Gillnet
-0.1580465,0.03395657,Gillnet
-0.02735898,-0.12515094,Gillnet
0.20471062,0.32617057,Gillnet
-0.41094825,-0.30920867,Gillnet
0.29746896,-0.03716456,Gillnet
0.20876553,0.20515913,Gillnet
-0.15874717,-0.01902511,Gillnet
0.17015185,-0.0024932,Gillnet
0.01757733,-0.00595879,Gillnet
-0.52876131,0.51887081,Gillnet
-0.00364952,0.26726816,Gillnet
0.07021291,-0.30297074,Gillnet
-0.34972388,0.23848897,Gillnet
-0.1148682,0.22242746,Gillnet
-0.05537996,-0.0133261,Gillnet
0.13134925,-0.16106499,Gillnet
-0.17180552,-0.15336076,Gillnet
0.1544464,-0.04981206,Gillnet
-0.26665057,0.01742515,Gillnet
-0.16745992,-0.27363687,Gillnet
-0.18299069,-0.27801669,Gillnet
-0.03810389,0.06105355,Gillnet
0.29751596,0.03107428,Gillnet
0.13055339,0.04289041,Gillnet
-0.04180251,-0.03604674,Gillnet
0.10521145,-0.1205219,Gillnet
0.43478178,0.3480044,Gillnet
0.00372559,0.21697718,Gillnet
0.0607223,0.2616894,Gillnet
0.02860851,-0.19193213,Gillnet
0.16661477,0.09614764,Gillnet
0.15112065,-0.31318892,Gillnet
-0.19690643,0.23975594,Gillnet
-0.03615524,0.20022021,Gillnet
-0.19374302,0.0056029,Gillnet
0.04678707,-0.05834656,Gillnet
-0.14213897,0.21339435,Gillnet
-0.36050947,-0.05284521,Gillnet
0.10660227,0.10596272,Gillnet
-0.07367456,-0.18833213,Gillnet
-0.2626679,-0.30243534,Gillnet
0.0270234,0.04876869,Gillnet
-0.13794341,-0.02152663,Gillnet
0.1146529,-0.06093599,Gillnet
0.01292345,-0.19018008,Gillnet
0.09372168,0.04444558,Gillnet
0.12684189,-0.38683766,Gillnet
0.28091257,-0.20239698,Gillnet
0.20040634,0.12587284,Gillnet
-0.10243728,0.03723332,Gillnet
-0.16529339,0.06087514,Gillnet
0.00000662,0.06746334,Gillnet
-0.01937943,0.0694585,Gillnet
-0.35187261,-0.24345168,Gillnet
-0.05647895,-0.13651606,Gillnet
-0.06568045,-0.35953222,Gillnet
-0.04844214,-0.01409035,Gillnet
0.09364583,-0.02987102,Gillnet
-0.07478463,-0.09340409,Gillnet
-0.18081811,0.13076533,Gillnet
0.0300108,-0.12248753,Gillnet
0.05077386,0.2324041,Gillnet
0.22383404,0.01985248,Gillnet
-0.03639203,0.14536603,Gillnet
